id,originalTitle,description,budget,genres,averageRating,averageRating.1,metascore
tt0086250,Scarface,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.",50000000.0,"['Crime', 'Drama']",8.3,8.3,65.0
tt0036775,Double Indemnity,"An insurance representative is seduced by a dissatisfied housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",927262.0,"['Crime', 'Drama', 'Film-Noir']",8.3,8.3,95.0
tt1049413,Up,"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway.",175000000.0,"['Adventure', 'Animation', 'Comedy']",8.3,8.3,88.0
tt0053125,North by Northwest,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.",3101000.0,"['Adventure', 'Drama', 'Mystery']",8.3,8.3,98.0
tt0986264,Taare Zameen Par,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.,,"['Drama', 'Family']",8.3,8.3,
tt0093058,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,30000000.0,"['Drama', 'War']",8.2,8.2,78.0
tt0022100,M - Eine Stadt sucht einen Mörder,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",,"['Crime', 'Mystery', 'Thriller']",8.3,8.3,
tt0033467,Citizen Kane,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'",839727.0,"['Drama', 'Mystery']",8.2,8.2,100.0
tt0211915,Le fabuleux destin d'Amélie Poulain,"Despite being caught in her imaginative world, young waitress Amelie decides to help people find happiness. Her quest to spread joy leads her on a journey during which she finds true love.",10000000.0,"['Comedy', 'Romance']",8.3,8.3,70.0
tt0052357,Vertigo,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.",2479000.0,"['Mystery', 'Romance', 'Thriller']",8.2,8.2,100.0
tt1832382,Jodaeiye Nader az Simin,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,500000.0,['Drama'],8.3,8.3,95.0
tt0095016,Die Hard,"A New York City cop, John McClane, tries to save his estranged wife and several others taken hostage by terrorists during a Christmas Eve party at the Nakatomi Plaza Skyscraper in Los Angeles, California.",28000000.0,"['Action', 'Thriller']",8.2,8.2,72.0
tt0056592,To Kill a Mockingbird,A widowed lawyer in Depression-era Alabama defends a black man against a false rape charge while teaching his young children about the sad reality of prejudice.,2000000.0,"['Crime', 'Drama']",8.3,8.3,88.0
tt0070735,The Sting,Two grifters team up to pull off the ultimate con.,5500000.0,"['Comedy', 'Crime', 'Drama']",8.2,8.2,83.0
tt0097576,Indiana Jones and the Last Crusade,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",48000000.0,"['Action', 'Adventure', 'Fantasy']",8.2,8.2,65.0
tt0066921,A Clockwork Orange,Alex DeLarge and his droogs barbarize a decaying near-future.,2200000.0,"['Crime', 'Sci-Fi']",8.2,8.2,77.0
tt0017136,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",6000000.0,"['Drama', 'Sci-Fi']",8.2,8.2,98.0
tt0208092,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",6000000.0,"['Comedy', 'Crime']",8.2,8.2,55.0
tt8579674,1917,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",95000000.0,"['Action', 'Drama', 'War']",8.2,8.2,78.0
tt0119488,L.A. Confidential,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",35000000.0,"['Crime', 'Drama', 'Mystery']",8.2,8.2,91.0
tt0363163,Der Untergang,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",13500000.0,"['Biography', 'Drama', 'History']",8.2,8.2,82.0
tt0993846,The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",100000000.0,"['Biography', 'Comedy', 'Crime']",8.2,8.2,75.0
tt5074352,Dangal,"Mahavir Singh Phogat, a former wrestler, decides to fulfill his dream of winning a gold medal for his country by training his daughters for the Commonwealth Games despite the existing social stigmas.",700000000.0,"['Action', 'Biography', 'Drama']",8.3,8.3,
tt0040522,Ladri di biciclette,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.",133000.0,['Drama'],8.2,8.2,
tt15398776,Oppenheimer,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.",100000000.0,"['Biography', 'Drama', 'History']",8.2,8.2,90.0
tt0120382,The Truman Show,An insurance salesman begins to suspect that his whole life is actually some sort of reality TV show.,60000000.0,"['Comedy', 'Drama']",8.2,8.2,90.0
tt6966692,Green Book,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.,23000000.0,"['Biography', 'Comedy', 'Drama']",8.2,8.2,69.0
tt1130884,Shutter Island,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,80000000.0,"['Drama', 'Mystery', 'Thriller']",8.2,8.2,63.0
tt0055031,Judgment at Nuremberg,"Fictionalized depiction of the 1947 Judges' Trial, the third of 12 trials of Nazi war criminals conducted by the American occupying forces in Nuremberg, Germany, in which former judges of Nazi Germany were tried for their actions.",3000000.0,"['Drama', 'History', 'War']",8.3,8.3,60.0
tt0372784,Batman Begins,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",150000000.0,"['Action', 'Crime', 'Drama']",8.2,8.2,70.0
tt8503618,Hamilton,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",,"['Biography', 'Drama', 'History']",8.3,8.3,88.0
tt0059578,Per qualche dollaro in più,Two bounty killers with similar intentions but different motivations team up to take down a psychotic Mexican outlaw before he and his gang can carry out an audacious bank robbery.,600000.0,"['Drama', 'Western']",8.2,8.2,74.0
tt0075314,Taxi Driver,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",1300000.0,"['Crime', 'Drama']",8.2,8.2,94.0
tt0107290,Jurassic Park,"An industrialist invites some experts to visit his theme park of cloned dinosaurs. After a power failure, the creatures run loose, putting everyone's lives, including his grandchildren's, in danger.",63000000.0,"['Action', 'Adventure', 'Sci-Fi']",8.2,8.2,68.0
tt0053291,Some Like It Hot,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",2883848.0,"['Comedy', 'Music', 'Romance']",8.2,8.2,98.0
tt0469494,There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",25000000.0,['Drama'],8.2,8.2,93.0
tt0012349,The Kid,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.",250000.0,"['Comedy', 'Drama', 'Family']",8.2,8.2,
tt10272386,The Father,"A man refuses all assistance from his daughter as he ages. When he tries to understand what is happening around him, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",6000000.0,"['Drama', 'Mystery']",8.2,8.2,88.0
tt0042192,All About Eve,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,1400000.0,['Drama'],8.2,8.2,98.0
tt0167404,The Sixth Sense,"After being shot by a resentful former patient whom he failed to help, a Philadelphia child psychologist seeks redemption by treating a young boy with a disturbing secret.",40000000.0,"['Drama', 'Mystery', 'Thriller']",8.2,8.2,64.0
tt0089881,Ran,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",11500000.0,"['Action', 'Drama', 'War']",8.2,8.2,97.0
tt0112641,Casino,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.",52000000.0,"['Crime', 'Drama']",8.2,8.2,73.0
tt0477348,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,25000000.0,"['Crime', 'Drama', 'Thriller']",8.2,8.2,92.0
tt0084787,The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,15000000.0,"['Horror', 'Mystery', 'Sci-Fi']",8.2,8.2,57.0
tt1745960,Top Gun: Maverick,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.",170000000.0,"['Action', 'Drama']",8.2,8.2,78.0
tt1392214,Prisoners,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,46000000.0,"['Crime', 'Drama', 'Mystery']",8.2,8.2,70.0
tt0457430,El laberinto del fauno,"In 1944 Spain, a girl is sent to live with her ruthless stepfather. During the night, she meets a fairy who takes her to an old faun. He tells her she's a princess, but must prove her royalty by surviving three gruesome tasks.",19000000.0,"['Drama', 'Fantasy', 'War']",8.2,8.2,98.0
tt0266697,Kill Bill: Vol. 1,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",30000000.0,"['Action', 'Crime', 'Thriller']",8.2,8.2,69.0
